velut,551
victōria -ae f.,248
videō vidēre vīdī vīsum,967
vincō vincere vīcī victum,897
vinculum -ī n.,404
vīnum -ī n.,358
vir virī m.,913
virgō -inis f.,580
virtūs -ūtis f.,887
vīs f.,883
vīta -ae f.,911
vitium -ī n.,672
vītō -āre,117
vīvō vīvere vīxī vīctum,842
victor -ōris m.,658
vīcīnus -a -um,58
via -ae f.,802
veniō venīre vēnī ventum,935
ventus -ī m.,729
verbum -ī n.,810
vērē,15
vereor verērī veritus sum,114
vērō,718
vertō vertere vertī versum,710
vērus -a -um,588
vester vestra vestrum,716
vestīgium -ī n.,282
uxor uxōris f.,446
vetō -āre vetuī vetītum,333
vetus veteris,703
vix,646
vestis -is f.,585
vōx vōcis f.,829
urbs urbis f.,916
ūsque,471
ūsus -ūs m.,552
"ut, utī",983
uterque utraque utrumque,755
ūtilis -e,148
ūtor ūtī ūsus sum,668
utrum,171
vulgō,7
vulgus -ī n. and m.,323
vulnus -eris n.,671
vultus -ūs m.,789
vōtum -ī n.,664
vōs,868
voluptās -ātis f.,620
ūllus -a -um,820
ultimus -a -um,566
ultrā,398
umbra -ae f.,741
umquam,516
unda -ae f.,791
unde,698
undique,312
voluntās -ātis f.,139
volucris -is f./m.,22
volucer -cris -cre,21
volō velle voluī,932
vocō -āre,840
ūnus -a -um,945
suus -a -um,971
sustineō sustinēre sustinuī sustentum,236
suscipiō -cipere -cēpī ceptum,61
surgō surgere surrēxī surrēctum,428
suprā,410
superus -a -um,899
supersum -esse -fuī,375
superō -āre,330
superī -ōrum m. pl.,284
taceō -ēre -uī -itum,629
tālis tāle,795
tam,902
tegō tegere tēxī tēctum,622
tēctum -ī n.,612
tardus -a -um,260
tantus -a -um,893
"tantum, tantummodo",782
tangō tangere tetigī tāctum,464
tandem,571
tamquam,635
tamen,940
superbus -a -um,342
super,597
sūmō sūmere sūmpsī sūmptum,544
spīritus -ūs m.,295
spēs speī f.,766
spērō -āre,350
spectō -āre,525
speciēs -ēī f.,399
spatium -ī n.,572
spargō spargere sparsī sparsum,466
sors sortis f.,359
soror -ōris f.,501
statim,200
statuō -ere -uī -ūtum,320
sum esse fuī futūrum,996
sui sibi sē/sēsē,981
subitō,150
subeō -īre -iī -itum,460
sub,880
studium -ī n.,548
studeō -ēre -uī,9
stō stāre stetī statum,830
stella -ae f.,64
sonō sonāre sonuī sonitum,415
supplicium -ī n.,315
tuus -a -um,954
tūtus -a -um,633
turpis -e,621
turbō -āre,130
turba -ae f.,675
tum or tunc,942
tū tuī tibi tē,989
trīstis -e,723
tribūnus -ī m.,191
vacō vacāre,274
vacuus -a -um,325
vagus -a -um,324
vel,857
vehō vehere vēxī vectum,366
ve,691
ubi,906
vātēs -is m.,314
varius -a -um,367
vanus -a -um,142
validus -a -um,182
valeō valēre valuī,459
trēs tria,465
trānseō -īre -iī -itum,567
trahō trahere trāxī trāctum,785
temptō -āre,568
tener -era -erum,508
teneō -ēre -uī tentum,892
tenebrae -brārum f. pl.,223
tendō tendere tetendī tentum,469
tempus -oris n.,909
templum -ī n.,513
tempestas -tātis f.,245
tēlum -ī n.,743
tellus tellūris f.,661
tergum -ī n.,524
terra -ae f.,928
trādō -dere -didī -ditum,701
tōtus -a -um,920
tot,739
tollō tollere sustulī sublātum,705
terreō terrēre terruī territum,293
timor -ōris m.,462
timeō -ēre -uī,845
testis -is m.,257
tertius -a -um,316
rīpa -ae f.,336
rīdeō -ēre rīsī rīsum,124
rēx rēgis m.,938
reus -ī m.,110
revocō -āre,185
revertō -vertere -vertī,3
retineō -tinēre -tinuī -tentum,351
respondeō -spondēre -spondī -spōnsum,463
respicio -ere -spēxī -spectum,276
rēs reī f.,960
repetō -petere -petīvī -petītum,347
rogō -āre,447
rumpō rumpere rūpī ruptum,518
sanguis -inis m.,784
sānctus -a -um,339
salūs -ūtis f.,449
saevus -a -um,754
saepe,853
saeculum -ī n.,222
sacerdōs -dōtis m./f.,59
sacer sacra sacrum,600
rūs rūris n.,119
rūrsus,558
sānus -a -um,52
reperiō -perīre -pperī -pertum,233
recēns -ntis,217
recēdō -cēdere -cessī -cessum,172
ratiō -ōnis f.,742
rārus -a -um,246
rapiō rapere rapuī raptum,725
quotiēns,28
quoque,922
quoniam,488
quondam,456
quōmodo,167
recipiō -cipere -cēpī -ceptum,679
rēctus -a -um,175
reor rērī rātus sum,224
reliquus -a -um,210
relinquō -linquere -līquī -lictum,854
regō regere rēxī rēctum,444
rēgnum -ī n.,877
rēgius -a -um,437
regiō -ōnis f.,413
referō referre rettulī relātum,827
redeō -īre -iī -itum,697
reddō -dere -didī -ditum,824
quisquis quidquid,869
quō,693
simul,724
similis -e,584
silva -ae f.,764
sīgnum -ī n.,737
sīdus -eris n.,639
sīcut,207
sīc,919
sī,982
seu,655
servus -ī m.,502
sine,894
singulī -ae -a,491
somnus -ī m.,560
sōlus -a -um,822
solvō solvere solvī solūtum,673
sōlum,101
soleō -ēre -uī -itum,752
sōl sōlis m.,678
socius -a -um,626
sīve,636
sinus -ūs m.,520
sinō sinere sīvī situm,281
servō -āre,709
serviō -īre,115
sapiēns -ntis,545
sēcūrus -a -um,301
secundus -a -um,162
scrībō scrībere scrīpsī scrīptum,430
sciō -īre -īvī/-iī -ītum,826
scīlicet,109
scientia -ae f.,27
scelus -eris n.,844
saxum -ī n.,692
"satis, sat",657
sapientia -ae f.,201
sed,978
sedeō sedēre sēdī sessum,492
sermō -ōnis m.,423
sequor sequī secūtus sum,890
sepulcrum -ī n.,49
sentiō sentīre sēnsī sēnsum,696
sententia -ae f.,412
sēnsus -ūs m.,205
senex -is m.,440
senātus -ūs m.,669
semper,849
semel,209
sēdēs -is f.,595
prīncipium -ī n.,50
prīnceps -cipis,681
prīmus -a -um,907
prīmum,746
prex precis f.,478
pretium -ī n.,369
premō premere pressī pressum,758
precor -ārī,506
praetor -ōris m.,120
prior prius,472
prīvātus -a -um,116
prohibeō -ēre -uī -itum,394
proficīscor -ficīscī -fectus sum,163
proelium -ī n.,650
prōdō prōdere prōdidī prōditum,69
procul,601
prōcēdō -cēdere -cessī -cessum,252
probō -āre,214
prō,870
prius or priusquam,514
praetereā,317
praeter,242
praestō -stāre -stitī -stitum,575
posterus -a -um,121
posteā,34
post,834
possum posse potuī,975
pōscō pōscere popōscī,511
portō -āre,145
porta -ae f.,239
populus -ī m.,876
postquam,614
potēns potentis,431
potestās -ātis f.,261
praesidium -ī n.,416
praesēns -ntis,176
praemium -ī n.,318
praeda -ae f.,372
praecipiō -cipere -cēpī -ceptum,53
praeceptum -ī n.,173
praebeō -ēre -uī -itum,414
potis -e,51
pontus -ī m.,368
quisque quaeque quidque,801
quemadmodum,467
que,994
quattuor,131
quasi,60
quārē,212
quantus -a -um,687
quantum,441
quandō,377
queror querī questus sum,480
quī quae quod,995
quia,866
quis quid,786
quisquam quicquam/quidquam,986
quīppe,499
quīn,542
quiēscō quiēscere quiēvī quiētum,29
quidem,862
quīdam quaedam quoddam,872
quīcumque quaecumque quodcumque,714
quamvīs,509
quamquam,354
quam,969
prōvincia -ae f.,378
prōtinus,95
prōsum prodesse profuī,625
propter,438
proprius -a -um,144
prōpōnō -pōnere -posuī -positum,68
properō -āre,461
prope,809
prōmittō -mittere -mīsī -missum,278
pūblicus -a -um,481
pudor pudōris m.,382
quālis -e,735
quaerō -rere -sīvī -sītum,885
quā,662
putō -āre,832
pulcher -chra -chrum,429
pugnō -āre,290
pūgna -ae f.,348
puer puerī m.,807
puella -ae f.,765
onus oneris n.,156
omnis -e,980
ōlim,424
officium -ī n.,391
offerō offerre obtulī oblātum,186
odium -ī n.,476
ōdī ōdisse,208
oculus -ī m.,792
occurrō -currere -cucurrī -cursum,321
occupō -āre,526
occīdō -cīdere -cīdī -cīsum,197
opera -ae f.,155
oportet -ēre -uit,192
ōs ōris n.,851
ōrō -āre,243
orior orīrī ortus sum,356
ōrdō -īnis m.,582
orbis -is m.,676
ōrātiō -ōnis f.,262
opus operis n.,666
optō -āre,581
ops opis f.,680
oppidum -ī n.,363
os ossis n.,302
ob,549
nōscō nōscere nōvī nōtum,651
nōs nostrum/nostrī nōbīs nōs,947
nōndum,562
nōn,992
nōmen -inis n.,863
nōlō nōlle nōluī,540
noceō nocēre nocuī,489
nōbilis -e,543
nimius -a -um,496
nimis or nimium,157
noster nostra nostrum,946
nōtus -a -um,521
nūntius -ī m.,79
nunc,948
numquam,747
numerus -ī m.,660
nūmen -inis n.,546
num,74
nūllus -a -um,949
nūdus -a -um,453
nox noctis f.,879
novus -a -um,859
"nihil, nīl",943
pōnō pōnere posuī positum,896
perveniō -venīre -vēnī -ventum,589
pertineō -tinēre -tinuī,132
perpetuus -a -um,107
permittō -mittere -mīsī -missum,296
perīculum -ī n.,733
pergō pergere perrēxī perrēctum,177
pereō -īre -iī -itum,730
perdō -dere -didī -ditum,510
per,968
pendō pendere pependī pēnsum,10
pēs pedis m.,799
petō petere petīvī petītum,915
pondus ponderis n.,362
poēta -ae m.,85
poena -ae f.,775
plērus- plēra- plērumque,30
plērumque,24
plēnus -a -um,539
plēbs plēbis f.,349
placeō placēre placuī placitum,711
pius -a -um,250
pietās -tātis f.,231
pellō pellere pepulī pulsum,435
pecus -oris n.,432
pars partis f.,933
pariō parere peperī partum,169
pāreō pārēre pāruī,151
parēns -ntis m./f.,808
parcō parcere pepercī parsum,586
parō -āre,838
pār paris,717
paene,54
ōtium -ī n.,283
ostendō ostendere ostendī ostentum,627
parum,794
parvus -a -um,855
pateō patēre patuī,448
pecūnia -ae f.,468
pectus -oris n.,815
peccō -āre,206
pāx pācis f.,610
pauper -eris,154
"paulō, paulum",126
paucī -ae -a,140
patria -ae f.,656
patior patī passus sum,813
pater patris m.,927
modo,846
mittō mittere mīsī missum,884
miser misera miserum,861
misceō miscēre miscuī mixtum,573
mīror mīrārī mīrātus sum,494
mīlle (pl.) mīlia,751
modus -ī m.,803
moenia -ium n. pl.,405
mollis -e,642
moneō monēre monuī monitum,287
mōns montis m.,756
mora -ae f.,599
morbus -ī m.,340
morior morī mortuus sum,745
moror morārī morātus sum,417
mīles -itis m.,837
meus -a -um,957
metus -ūs m.,783
maneō manēre mānsī mānsum,641
manus -ūs f.,950
mare -is n.,873
marītus -ī m.,344
māter mātris f.,871
māteria -ae f.,141
medius -a -um,836
membrum -ī n.,517
meminī meminisse,328
memoria -ae f.,371
mēns mentis f.,825
mēnsa -ae f.,251
mereō merēre meruī meritum,146
metuō metuere metuī,569
malus -a -um,771
mors mortis f.,903
nāvis -is f.,645
ne (enclitic),760
nē,951
nec,979
necesse (indecl. adj.),225
necessitās -tātis f.,87
nefās n. indecl.,457
negō -āre,704
negōtium -ī n.,152
nēmō,819
nemus nemoris n.,537
neque,926
nesciō -scīre,473
"nisi, nī",898
nātus -ī m.,787
nātūra -ae f.,818
nāscor nāscī nātus sum,732
mortālis -e,48
mōs mōris m.,817
moveō -ēre mōvī mōtum,806
mox,529
multus -a -um,955
mulier -eris f.,37
multitūdō -inis f.,265
mundus -a -um,1
mundus -ī m.,648
mūnus mūneris n.,722
mūrus -ī m.,490
mūtō -āre,683
nam or namque,937
narrō -āre,88
niger nigra nigrum,364
mālō mālle māluī,400
legō legere lēgī lēctum,579
littera -ae f.,288
lingua -ae f.,266
līmen līminis n.,482
licet licēre licuit licitum est,823
licet,220
libīdō -inis f.,237
libet libēre libuit or libitum est,269
lībertās -ātis f.,503
liber librī m.,97
līber lībera līberum,769
lēx lēgis f.,734
levis -e,778
lītus -oris n.,753
locus -ī m.,936
male,395
māiōrēs māiōrum m.,234
māgnus -a -um,973
māgnitūdō -inis f.,326
magister magistrī m.,65
magis,908
maestus -a -um,329
lūx lūcis f.,699
longē,598
longus -a -um,856
loquor loquī locūtus sum,688
lūmen luminis n.,623
lūna -ae f.,96
inde,670
incipiō -cipere -cēpī -ceptum,587
incidō incidere incidī,127
in,993
impōnō -ere -posuī -positum,561
impleō -ēre -plēvī -plētum,327
impetus -ūs m.,577
imperō -āre,396
imperium -ī n.,798
imperātor -ōris m.,275
indicō -āre,18
īnferō īnferre intulī illātum,256
īnstituō -stituere -stituī -stitūtum:,67
"inquam, inquis, inquit, inquiunt:",835
iniūria -ae f.:,617
initium -ī n.:,133
inimīcus -a -um:,46
ingredior -gredī -gressus sum:,113
ingrātus -a -um:,406
ingēns ingentis,796
ingenium -ī n.,611
īnferus -a -um,570
imāgō -inis f.,244
illūc,43
hūmānus -a -um,643
hūc,630
hostis -is m./f.,905
hospes hospitis m.,125
hortor hortārī hortātus sum,111
hōra -ae f.,334
honor -ōris m.,708
honestus -a -um,418
homō hominis m.,910
humus -ī f.,258
iaceō iacēre iacuī,770
iaciō iacere iēcī iactum,99
illīc,602
ille illa illud,990
ignis -is m.,847
igitur,685
ideō,319
īdem eadem idem,939
īctus -ūs m.,179
ibi,379
iam,964
hodiē,17
īnsula -ae f.:,90
legiō -ōnis f.,628
iuvō iuvāre iūvī iūtum,608
iuvenis -is m.,721
iūstus -a -um,228
iūs iūris n.,684
iūrō -āre,102
iungō iungere iūnxī iūnctum,485
iugum -ī n.,663
iūdicō -āre,433
iūdicium -ī n.,249
labor -ōris m.,797
labōrō -āre,98
lacrima -ae f.,644
lēgātus -ī m.,534
laus laudis f.,554
laudō -āre,563
lātus -a -um,174
latus -eris n.,616
lateō latēre latuī,303
lapis lapidis m.,158
laetus -a -um,736
laedō laedere laesī laesum,215
iūdex iūdicis m.,159
iubeō iubēre iussī iussum,914
intrō -āre,232
intrā,294
intersum -esse -fuī,238
interrogō -āre,45
interim,305
interficiō -ficere -fēcī -fectum,299
inter,934
intendō -tendere -tendī -tentum:,103
intellegō -legere -lēxī -lēctum:,486
integer -gra -grum:,183
inveniō -venīre -vēnī -ventum,682
invidia -ae f.,291
iterum,240
iter itineris n.,768
item,66
itaque,790
ita,878
iste ista istud,917
is ea id,985
īrāscor īrāscī īrātus sum,189
īra irae f.,811
ipse ipsa ipsum,976
fateor fatērī fassus sum,309
fātum -ī n.,841
fax facis f.,487
fēlīciter,4
familia -ae f.,55
famēs -is f.,170
fāma -ae f.,720
falsus -a -um,365
fallō fallere fefellī falsum,495
factum -ī n.,387
faciō facere fēcī factum,966
fēlīx -īcis,689
fēmina -ae f.,497
fīnis -is m.,762
fingō fingere fīnxī fīctum,277
fīlia -ae f.; fīlius -ī m.,89
fidēs -eī f.,814
fidēlis -e,19
fessus -a -um,373
ferrum -ī n.,767
ferō ferre tulī lātum,953
ferē,91
ferus -a -um,776
fīō fierī factus sum,852
facinus facinoris n.,352
exemplum -ī n.,479
excipiō -cipere -cēpī -ceptum,604
"ex, ē",972
etiam,931
et,997
error -ōris m.,166
errō -āre,596
ēripiō -ripere -ripuī -reptum,649
ergō,864
equus -ī m.,750
exeō -īre -iī -itum,401
exerceō -ercēre -ercuī -ercitum,422
facilis -e,547
faciēs -ēī f.,519
fābula -ae f.,32
extrēmus -a -um,613
exspectō -āre,556
exsilium -ī n.,204
experior -perīrī -pertus sum,285
exīstimō -āre,385
exigō -igere -ēgī -āctum,498
exercitus -ūs m.,731
eques equitis m.,702
hiems hiemis f.,195
genus generis n.,828
gēns gentis f.,804
gaudium -ī n.,271
gaudeō gaudēre gāvīsus sum,591
fore,13
furor -ōris m.,532
fūnus fūneris n.,474
fundō fundere fūdī fūsum,475
fugō -āre,41
fugiō fugere fūgī fugitum,821
gerō gerere gessī gestum,761
gīgnō gīgnere genuī genitum,331
hīc,918
hic haec hoc,991
haud,772
habeō habēre habuī habitum,959
gravis -e,858
grātus -a -um,564
grātia -ae f.,618
gradus -ūs m.,421
glōria -ae f.,638
gladius -ī m.,136
fuga -ae f.,634
flamma -ae f.,700
fors fortis f.,5
fōrma -ae f.,576
for fārī fātus sum,259
fōns fontis m.,292
foedus -a -um,76
fluō fluere fluxī fluxum,226
flūmen -inis n.,715
fluctus -ūs m,500
flōs flōris m.,180
fleō flēre flēvī flētum,541
"forsitan, fortasse",165
fortē,419
frūstrā,304
fruor fruī frūctus sum,75
frūmentum -ī n.,62
frūctus -ūs m.,71
frōns frontis f.,439
frequēns -ntis,80
frāter frātris m.,773
frangō frangere frēgī frāctum,653
forum -ī n.,187
fortūna -ae f.,860
fortis -e,712
decet decēre decuīt,280
decus decoris n.,450
dēdūcō -dūcere -dūxī -ductum,337
dēfendō -fendere -fendī -fēnsum,345
dēcernō -cernere -crēvī -crētum,198
decem,84
dēbeō dēbēre dēbuī dēbitum,843
deus -ī m.; dea -ae f.,956
dē,952
damnum -ī n.,72
dēferō -ferre -tulī -lātum,193
deficiō -ficere -fēcī -fectum,322
diēs diēī m./f.,944
dīcō dīcere dīxī dictum,965
dexter -tra -trum,738
dēsum -esse -fuī,535
dēsinō -sinere -siī -situm,374
dēsīderō -āre,106
dēserō -ere dēseruī dēsertum,454
dēscendō -scendere -scendī -scēnsum,196
dēnique,202
deinde/dein,848
damnō -āre,247
custōs custōdis m.,376
cursus -ūs m.,647
creō -āre,20
crēdō crēdere crēdidī crēditum,889
corrumpō -rumpere -rūpī -ruptum,128
corpus corporis n.,923
cornu -ūs n.,407
cor cordis n.,203
cōpia -ae f.,667
convīvium -iī n.,77
convertō -vertere -vertī -versum,164
crēscō crēscere crēvī crētum,389
crīmen -inis n.,523
culpa -ae f.,229
currus -ūs m.,507
currō currere cucurrī cursum,436
cūrō -āre,255
cūra -ae f.,812
cūr,594
cupiō -ere -īvī -ītum,557
cupīdō -inis f.,92
cūnctus -a -um,706
cum,988
dō dare dedī datum,970
differō differre distulī dīlātum,118
epistula -ae f.,47
ecce,355
dux ducis m./f.,759
dūrus -a -um,749
duo duae duo,777
dum,895
dulcis -e,615
dūcō dūcere dūxī ductum,865
dubius -a -um,470
dubitō -āre,477
ēdīcō -dīcere -dīxī -dictum,2
ēdō ēdere ēdidī ēditum,310
ēdūcō -dūcere -dūxī -ductum,63
eō īre iī/īvī itum,901
eō,528
enim,941
ēligō ēligere ēlēgī ēlēctum,56
ēgregius -a -um,138
ēgredior ēgredī ēgressus sum,86
ego meī mihi mē,987
effundō -fundere -fūdī -fūsum,279
efficiō -ficere -fēcī -fectum,425
dormiō -īre,23
dōnum -ī n.,522
dōnō -āre,392
dīversus -a -um,357
diū:,637
discō -ere didicī,533
disciplīna -ae f.,16
discēdō -ere -cessī -cessum,272
dīmittō -mittere -mīsī -missum,221
dīligō -ligere -lēxī -lēctum,25
dīgnus -a -um,707
dīgnitās -ātis f.,42
difficilis -e,137
dīves dīvitis,434
dīvidō -ere dīvīsī dīvīsum,370
dōnec,227
domus -ūs f.,925
dominus -ī m.; domina -ae f.,757
dolus -ī m.,297
dolor -ōris m.,805
doleō -ēre doluī,213
doceō -ēre -uī doctum,605
dīvus -a -um,36
dīvitiae -ārum f. pl.,286
caveō cavēre cāvī cautum,57
cāsus -ūs m.,654
castrum -ī n.,774
cārus -a -um,536
carmen -inis n.,744
careō -ēre -uī,426
caput capitis n.,874
capiō capere cēpī captum,867
canō canere cecinī cantum,609
causa -ae f.,891
cēdō cēdere cessī cessum,694
celebrō -āre,105
cēterum,427
certus -a -um,713
certō -āre,134
certē,397
cernō cernere crēvī crētum,343
centum,268
cēnseō cēnsēre cēnsuī cēnsum,70
celeriter,31
celer -is -e,253
cēterus -a -um,402
canis -is m./f.,311
candidus -a -um,306
bene,763
bellum -ī n.,912
beātus -a -um,590
barbarus -ī m.,230
auxilium -ī n.,455
autem,875
aut,974
aurum -ī n.,695
auris -is f.,632
beneficium -ī n.,816
bonus -a -um,930
bōs bovis m.,190
campus -ī m.,607
caelum -ī n.,881
caelestis -e,38
caedō caedere cecīdī caesum,386
caedēs -is f.,583
caecus -a -um,270
cadō cadere cecidī cāsum,788
breviter,6
brevis -e,409
castus -a -um,160
cibus -ī m.,135
conveniō -venīre -vēnī -ventum,300
cōnsequor -sequī -secūtus sum,81
cōnor cōnārī cōnātus sum,93
coniunx coniugis m./f.,780
cōnfiteor cōnfitērī cōnfessus sum,26
cōnficiō -ficere -fēcī -fectum,104
cōnferō cōnferre contulī collātum,353
condō -dere -didī -ditum,458
condīciō -ōnis f.,78
concēdō -cēdere -cessī -cessum,335
cōnsilium -ī n.,781
cōnsistō -sistere -stitī,218
cōnstituō -stituere -stituī -stitūtum,346
contrā,727
contingō -tingere -tigī -tactum,504
contineō -tinēre -tinuī -tentum,194
contemnō -temnere -tempsī -temptum,383
cōnsūmō -sūmere -sūmpsī -sūmptum,129
cōnsulō -sulere -suluī -sultum,241
cōnsul -ulis m.,677
cōnsuētūdo -inis f.,44
cōnstō -stāre -stitī,267
compōnō -pōnere posuī positum,555
comparō -āre,108
claudō claudere clausī clausum,606
classis -is f.,493
clārus -a -um,603
clāmor -ōris m.,393
cīvitās -ātis f.,652
cīvis -is m./f.,527
citus -a -um,408
circā,263
cinis cineris m./f.,219
cingō cingere cīnxī cīnctum,184
coepī coepisse coeptus,686
cōgitō -āre,483
commūnis -e,338
committō -mittere -mīsī -missum,390
comes comitis m./f.,550
coma -ae f.,593
color -ōris m.,273
colō colere coluī cultum,665
colligō -ere -lēgī -lēctum,178
cohors cohortis f.,332
cōgō cōgere coēgī coāctum,748
cōgnōscō -gnōscere -gnōvī -gnitum,659
afferō afferre attulī allātum,484
albus -a -um,73
aevum -i n.,123
aethēr aetheris n.,147
aeternus -a -um,264
aetās -tātis f.,690
aes aeris n.,254
āēr āeris m.,153
aequus -a -um,388
aequor aequoris n.,574
afficiō -ficere -fēcī -fectum,40
ager agrī m.,674
agitō -āre,420
alō alere aluī alitum,181
aliter,216
aliquis -quae -quod,921
aliquandō,235
aliēnus -a -um,631
alius -a -ud,961
aiō,592
agō agere ēgī āctum,929
āgmen -minis n.,640
alter altera alterum,850
aequē,94
addō -dere -didī -ditum,565
ad,984
aciēs -ēī f.,559
ācer ācris ācre,411
accipiō -cipere -cēpī -ceptum,888
accidō -cidere -cidī,199
accēdō -cēdere -cessī -cessum,384
ac,962
absum abesse āfuī,553
abeō -īre -iī -itum,445
addūcō -ere -dūxī -ductum,112
adeō,443
aegrē,14
aeger aegra aegrum,188
aedēs -is f.,33
advertō -vertere -vertī -versum,12
adversus (-um),538
adversus -a -um,341
adveniō -īre -vēnī -ventum,11
adhūc,619
adhibeō -hibēre -hibuī -hibitum,39
adeō -īre -iī -itum,403
antīquus -a -um,381
ā ab abs,977
astrum -ī n.,313
adsum adesse affuī,719
aspiciō -ere -spēxī -spectum,515
ascendō -ere -scendī -scēnsum,8
arx arcis f.,360
arvum -ī n.,361
ars artis f.,740
arma -ōrum n. pl.,900
argentum -ī n.,149
at,924
atque,963
auctor -ōris m.,452
aureus -a -um,307
aura -ae f.,578
avis -is f.,143
augeō augēre auxī auctum,289
auferō auferre abstulī ablātum,442
audiō -īre -īvī/-iī -ītum,833
audeō audēre ausus sum,728
audāx audācis,122
auctōritās -ātis f.,100
ārdeō ārdēre ārsī ārsum,380
arbor arboris f.,530
arbitror arbitrārī arbitrātus sum,35
anima -ae f.,505
an,904
amplus -a -um,83
amor -ōris m.,882
amnis -is m.,531
āmittō -mittere -mīsī -missum,512
amīcus -a -um,800
amīcitia -ae f.,308
amō -āre,779
animal -ālis n.,451
animus -ī m.,958
annus -ī m.,831
āra -ae f.,624
aqua -ae f.,726
apud,793
aptus -a -um,82
appellō -pellāre,298
appāreō -ēre -uī,168
aperiō aperīre aperuī apertum,161
antequam,211
ante,886
altus -a -um,839
